chunk_id,document_name,page_number,content,source
2020_census_methodology.pdf_p15_c60,2020_census_methodology.pdf,15,"CENSUS RESULTS The 2020 Census Operational Overview Count everyone once, only once, and in the right place.","2020_census_methodology.pdf, Page 15"
2020_census_methodology.pdf_p16_c61,2020_census_methodology.pdf,16,"10 2020 Census Operational Plan—Version 3.0 U.S. Census Bureau Table 1: Operations and Purpose Operations Purpose Program Management Program Management (PM) Define and implement program management policies, processes, and the control functions for planning and implementing the 2020 Census in order to ensure an efficient and well-managed program. Census/Survey Engineering Systems Engineering and Integration (SEI) Manage the delivery of a System of Systems that meets the 2020 Census Program business and capability requirements. Security, Privacy, and Confidentiality (SPC) Ensure that all operations and systems used in the 2020 Census adhere to laws, policies, and regulations that ensure appropriate systems and","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c62,2020_census_methodology.pdf,16,"all operations and systems used in the 2020 Census adhere to laws, policies, and regulations that ensure appropriate systems and data security, and protect respondent and employee privacy and confidentiality. Content and Forms Design (CFD) Identify and finalize content and design of questionnaires and other associated nonquestionnaire materials, ensure consistency across data collection modes and operations, and provide the optimal design and content of the questionnaires to encourage high response rates. Language Services (LNG) Assess and support language needs of non-English speaking populations, determine the number of non-English languages and level of support for the 2020 Census, optimize the non-English","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c63,2020_census_methodology.pdf,16,"non-English speaking populations, determine the number of non-English languages and level of support for the 2020 Census, optimize the non-English content of questionnaires and associated nonquestionnaire materials across data collection modes and operations, and ensure cultural relevancy and meaningful translation of 2020 Census questionnaires and associated nonquestionnaire materials. Frame Geographic Programs (GEOP) Provide the geographic foundation in support of the 2020 Census data collection and tabulation activities, within the Master Address File (MAF)/Topologically Integrated Geographic Encoding and Referencing (TIGER) System. The MAF/TIGER System (software applications and databases) serves as the national repository for all of the spatial, geographic, and residential","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c64,2020_census_methodology.pdf,16,"The MAF/TIGER System (software applications and databases) serves as the national repository for all of the spatial, geographic, and residential address data needed for census and survey data collection, data tabulation, data dissemination, geocoding services, and map production. Components of this operation include Geographic Delineations, Geographic Partnership Programs and Geographic Data Processing. Local Update of Census Addresses (LUCA) Provide an opportunity for tribal, federal, state, and local governments to review and improve the address lists and maps used to conduct the 2020 Census as required by Public Law (P .L.) 103-430. Address Canvassing (ADC) Deliver a complete and accurate address","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c65,2020_census_methodology.pdf,16,"the 2020 Census as required by Public Law (P .L.) 103-430. Address Canvassing (ADC) Deliver a complete and accurate address list and spatial database for enumeration and determining the type and address characteristics for each living quarter. Response Data Forms Printing and Distribution (FPD) Print and distribute Internet invitation letters, reminder cards or letters or both, questionnaire mailing packages, and materials for other special operations, as required. Other materials required to support field operations are handled in the Decennial Logistics Management. Paper Data Capture (PDC) Capture and convert data from the 2020 Census paper questionnaires, including mail receipt, document preparation,","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c66,2020_census_methodology.pdf,16,"Management. Paper Data Capture (PDC) Capture and convert data from the 2020 Census paper questionnaires, including mail receipt, document preparation, scanning, Optical Character Recognition, Optical Mark Recognition, Key From Image, data delivery, checkout, and form destruction. Integrated Partnership and Communications (IPC) Communicate the importance of participating in the 2020 Census to the entire population of the 50 states, the District of Columbia, and Puerto Rico to support field recruitment efforts, engage and motivate people to self-respond (preferably via the Internet), raise and keep awareness high throughout the entire 2020 Census to encourage response, and effectively support dissemination of Census data","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p16_c67,2020_census_methodology.pdf,16,"raise and keep awareness high throughout the entire 2020 Census to encourage response, and effectively support dissemination of Census data to stakeholders and the public. Internet Self-Response (ISR) Maximize online response to the 2020 Census via contact strategies and improved access for respondents and collect response data via the Internet to reduce paper and Nonresponse Followup.","2020_census_methodology.pdf, Page 16"
2020_census_methodology.pdf_p17_c68,2020_census_methodology.pdf,17,"U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 11 Operations Purpose Non-ID Processing (NID) Make it easy for people to respond anytime, anywhere to increase self-response rates by providing response options that do not require a unique Census ID, maximizing real- time matching of non-ID respondent addresses to the census living quarters address inventory, assigning nonmatching addresses to census blocks. Update Enumerate (UE) Update the address and feature data and enumerate respondents in person. UE is designated to occur in areas where the initial visit requires enumerating while updating the address frame, in particular in remote geographic areas that have","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c69,2020_census_methodology.pdf,17,"areas where the initial visit requires enumerating while updating the address frame, in particular in remote geographic areas that have unique challenges associated with accessibility. Update Leave (UL) Update the address and feature data and leave a choice questionnaire package at every housing unit identified to allow the household to self-respond. UL is designed to occur in areas where the majority of housing units do not have a city-style address to receive mail. Group Quarters (GQ) Enumerate people living or staying in group quarters and provide an opportunity for people experiencing homelessness and receiving service at service-based locations, such as","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c70,2020_census_methodology.pdf,17,"staying in group quarters and provide an opportunity for people experiencing homelessness and receiving service at service-based locations, such as soup kitchens, to be counted in the census. Enumeration at Transitory Locations (ETL) Enumerate individuals in occupied units at transitory locations who do not have a usual home elsewhere, such as recreational vehicle parks, campgrounds, racetracks, circuses, carnivals, marinas, hotels, and motels. Census Questionnaire Assistance (CQA) Provide questionnaire assistance for respondents by answering questions about specific items on the census form or other frequently asked questions about the 2020 Census and provide an option for respondents to complete a census","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c71,2020_census_methodology.pdf,17,"form or other frequently asked questions about the 2020 Census and provide an option for respondents to complete a census interview over the telephone. Also provide outbound calling support of NRFU Reinterview and Coverage Improvement. Nonresponse Followup (NRFU) Determine housing unit status for nonresponding addresses that do not self-respond to the 2020 Census and enumerate households that are determined to have a housing unit status of occupied. Response Processing (RPO) Create and distribute the initial 2020 Census enumeration universe, assign the specific enumeration strategy for each living quarter based on case status and associated paradata, create and distribute workload files","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c72,2020_census_methodology.pdf,17,"the specific enumeration strategy for each living quarter based on case status and associated paradata, create and distribute workload files required for enumeration operations, track case enumeration status, run postdata collection processing actions in preparation for producing the final 2020 Census results, and check for fraudulent returns. Federally Affiliated Count Overseas (FACO) Obtain counts by home state of U.S. military and federal civilian employees stationed or deployed overseas and their dependents living with them. Publish Data Data Products and Dissemination (DPD) Prepare and deliver the 2020 Census population counts to the President of the United States for Congressional apportionment, tabulate","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c73,2020_census_methodology.pdf,17,"(DPD) Prepare and deliver the 2020 Census population counts to the President of the United States for Congressional apportionment, tabulate and disseminate 2020 Census data products for use by the states for redistricting, and tabulate and disseminate 2020 Census data for use by the public. Redistricting Data (RDP) Provide to each state the legally required P .L. 94-171 redistricting data tabulations by the mandated deadline of 1 year from Census Day: April 1, 2021. Count Review (CRO) Enhance the accuracy of the 2020 Census through remediating potential gaps in coverage by implementing an efficient and equitable process to identify and","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c74,2020_census_methodology.pdf,17,"of the 2020 Census through remediating potential gaps in coverage by implementing an efficient and equitable process to identify and correct missing or geographically misallocated large group quarters and their population and positioning remaining count issues for a smooth transition to the Count Question Resolution Operation. Count Question Resolution (CQR) Provide a mechanism for governmental units to challenge their official 2020 Census results. Archiving (ARC) Coordinate storage of the materials and data and provide 2020 Census records deemed permanent, including files containing individual responses, to the National Archives and Records Administration and to the National Processing Center to use as","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p17_c75,2020_census_methodology.pdf,17,"files containing individual responses, to the National Archives and Records Administration and to the National Processing Center to use as source materials to conduct the Age Search Service. Also store data to cover in-house needs.","2020_census_methodology.pdf, Page 17"
2020_census_methodology.pdf_p18_c76,2020_census_methodology.pdf,18,"12 2020 Census Operational Plan—Version 3.0 U.S. Census Bureau Operations Purpose Other Censuses Island Areas Censuses (IAC) Enumerate all residents of American Samoa, the Commonwealth of the Northern Mariana Islands, Guam, and the U.S. Virgin Islands; process and tabulate the collected data; and disseminate data products to the public. Test and Evaluation Coverage Measurement Design and Estimation (CMDE) Develop the survey design and sample for the Post-Enumeration Survey of the 2020 Census and produce estimates of census coverage based on the Post-Enumeration Survey. Coverage Measurement Matching (CMM) Identify matches, nonmatches, and discrepancies between the 2020 Census and the Post-Enumeration Survey","2020_census_methodology.pdf, Page 18"
2020_census_methodology.pdf_p18_c77,2020_census_methodology.pdf,18,"the Post-Enumeration Survey. Coverage Measurement Matching (CMM) Identify matches, nonmatches, and discrepancies between the 2020 Census and the Post-Enumeration Survey for both housing units and people in the same areas. Both computer and clerical components of matching are conducted. Coverage Measurement Field Operations (CMFO) Collect person and housing unit information (independent from the 2020 Census operations) for the sample of housing units in the Post-Enumeration Survey to help understand census coverage and to detect erroneous enumerations. Evaluations and Experiments (EAE) Document how well the 2020 Census was conducted, and analyze, interpret, and synthesize the effectiveness of census components and their","2020_census_methodology.pdf, Page 18"
2020_census_methodology.pdf_p18_c78,2020_census_methodology.pdf,18,"Document how well the 2020 Census was conducted, and analyze, interpret, and synthesize the effectiveness of census components and their impact on data quality or coverage or both. Measure the success of critical 2020 Census operations. Formulate and execute an experimentation program to support early planning and inform the transition and design of the 2030 Census and produce an independent assessment of population and housing unit coverage. Infrastructure Decennial Service Center (DSC) Support 2020 Census Field operations for decennial staff (i.e., Headquarters, PDC, Regional Census Center, Area Census Office, Island Areas Censuses, remote workers, and listers/enumerators. Field Infrastructure (FLDI) Provide","2020_census_methodology.pdf, Page 18"
2020_census_methodology.pdf_p18_c79,2020_census_methodology.pdf,18,"(i.e., Headquarters, PDC, Regional Census Center, Area Census Office, Island Areas Censuses, remote workers, and listers/enumerators. Field Infrastructure (FLDI) Provide the administrative infrastructure for data collection operations covering the 50 states, the District of Columbia, and Puerto Rico. Decennial Logistics Management (DLM) Coordinate space acquisition and lease management for the regional census centers, area census offices, and the Puerto Rico area office; and provide logistics management support services (e.g., kit assembly, supplies to field staff). IT Infrastructure (ITIN) Provide the IT -related Infrastructure support to the 2020 Census, including enterprise systems and applications, 2020 Census-specific applications, Field IT infrastructure, mobile","2020_census_methodology.pdf, Page 18"
2020_census_methodology.pdf_p18_c80,2020_census_methodology.pdf,18,"IT -related Infrastructure support to the 2020 Census, including enterprise systems and applications, 2020 Census-specific applications, Field IT infrastructure, mobile computing, and cloud computing. Figure 6 presents a graphic representation of the 35 operations organized into the eight areas described above. A separate area, Other Censuses, was added to account for the Island Areas Censuses Operation, which is a unique component of the Decennial Census Programs. See Section 5 for details about the design and decisions for each of these operations.","2020_census_methodology.pdf, Page 18"
2020_census_methodology.pdf_p19_c81,2020_census_methodology.pdf,19,U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 13 Figure 6: Operations by Work Breakdown Structure Program Management 1. Program Management (PM) 6. Geographic Programs (GEOP) 9. Forms Printing and Distribution (FPD) 10. Paper Data Capture (PDC) 11. Integrated Partnership and Communications (IPC) 12. Internet Self-Response (ISR) 13. Non-ID Processing (NID) 14. Update Enumerate (UE) 15. Group Quarters (GQ) 16. Enumeration at Transitory Locations (ETL) 21. Data Products and Dissemination (DPD) 22. Redistricting Data Program (RDP) 23. Count Review (CRO) 24. Count Question Resolution (CQR) 25. Archiving (ARC) 17. Census Questionnaire Assistance (CQA) 18. Nonresponse Followup (NRFU) 19. Response Processing,"2020_census_methodology.pdf, Page 19"
2020_census_methodology.pdf_p19_c82,2020_census_methodology.pdf,19,"24. Count Question Resolution (CQR) 25. Archiving (ARC) 17. Census Questionnaire Assistance (CQA) 18. Nonresponse Followup (NRFU) 19. Response Processing (RPO) 20. Federally Affiliated Count Overseas (FACO) 35. Update Leave (UL) 7. Local Update of Census Addresses (LUCA) 8. Address Canvassing (ADC) 28. Coverage Measurement Matching (CMM) 29. Coverage Measurement Field Operations (CMFO) 30. Evaluations and Experiments (EAE) 27. Coverage Measurement Design and Estimation (CMDE) 2. Systems Engineering and Integration (SEI) 3. Security, Privacy, and Confidentiality (SPC) 4. Content and Forms Design (CFD) 31. Decennial Service Center (DSC) 32. Field Infrastructure (FLDI) 33. Decennial Logistics Management (DLM) 34. IT Infrastructure","2020_census_methodology.pdf, Page 19"
2020_census_methodology.pdf_p19_c83,2020_census_methodology.pdf,19,Forms Design (CFD) 31. Decennial Service Center (DSC) 32. Field Infrastructure (FLDI) 33. Decennial Logistics Management (DLM) 34. IT Infrastructure (ITIN) 5. Language Services (LNG) Infrastructure FRAME OTHER CENSUSES TEST AND EVALUATION RESPONSE DATA PUBLISH DATA Census/Survey Engineering 26. Island Areas Censuses (IAC) SUPPORT,"2020_census_methodology.pdf, Page 19"
2020_census_methodology.pdf_p21_c84,2020_census_methodology.pdf,21,"U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 15 3. The Four Key Innovation Areas The Census Bureau plans to conduct the most auto- mated, modern, and dynamic decennial census in history. The 2020 Census includes design changes in four key areas, including new methodologies to conduct Address Canvassing, innovative ways of optimizing self-response, the use of adminis- trative records and third-party data to reduce the Nonresponse Followup (NRFU) workload, and the use of technology to reduce the manual effort and improve the productivity of field operations. The primary goal is to achieve efficiency by: • Adding new addresses to","2020_census_methodology.pdf, Page 21"
2020_census_methodology.pdf_p21_c85,2020_census_methodology.pdf,21,"and improve the productivity of field operations. The primary goal is to achieve efficiency by: • Adding new addresses to the Census Bureau’s address frame using geographic information systems and aerial imagery instead of sending Census Bureau employees to walk and physically check 11 million census blocks. • Encouraging the population to respond to the 2020 Census using the Internet, reducing the need for more expensive paper data capture. • Using data the public has already provided to the government and data available from com- mercial sources, allowing realized savings to focus additional visits in areas that have tradi- tionally","2020_census_methodology.pdf, Page 21"
2020_census_methodology.pdf_p21_c86,2020_census_methodology.pdf,21,"and data available from com- mercial sources, allowing realized savings to focus additional visits in areas that have tradi- tionally been hard to enumerate. • Using sophisticated operational control systems to send Census Bureau employees to follow up with nonresponding housing units and to track daily progress. 3.1 REENGINEERING ADDRESS CANVASSING The goal of Reengineering Address Canvassing is to eliminate the need to canvass every census block. Instead, the Census Bureau has developed innova- tive methodologies for updating the Master Address File/Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System throughout the decade. Figure 7 highlights the key concepts in the","2020_census_methodology.pdf, Page 21"
2020_census_methodology.pdf_p21_c87,2020_census_methodology.pdf,21,"Address File/Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System throughout the decade. Figure 7 highlights the key concepts in the Reengineering Address Canvassing approach. Figure 7: Summary of Reengineering Address Canvassing Master Address File (MAF) Coverage Study Ongoing fieldwork to measure coverage, validate in-office procedures, and improve in-field data collection methodologies. Continual In-Office Canvassing Update and verify the MAF using aerial imagery, administrative records, and commercial data. 2015 2016 2017 2018 2019 2020 In-Field Canvassing Limited In-Field Canvassing in 2019 for those areas where address updates cannot be obtained or verified or areas that are undergoing rapid change. 2020 Census","2020_census_methodology.pdf, Page 21"
2020_census_methodology.pdf_p21_c88,2020_census_methodology.pdf,21,for those areas where address updates cannot be obtained or verified or areas that are undergoing rapid change. 2020 Census Begins Updated MAF used to conduct 2020 Census,"2020_census_methodology.pdf, Page 21"
2020_census_methodology.pdf_p22_c89,2020_census_methodology.pdf,22,"16 2020 Census Operational Plan—Version 3.0 U.S. Census Bureau Continual research and updating through In-Office Address Canvassing began in September 2015 and will continue through 2019 with the estab- lishment of the frame for the 2020 Census. Every year clerks will start with the most recent Census Bureau address list and update it based on new information from the United States Postal Service (USPS) and data from tribal, state, and local govern- ments and third parties (i.e., commercial vendors). Clerks will review satellite imagery to determine where changes in addresses are occurring, and based on these changes, the Census Bureau","2020_census_methodology.pdf, Page 22"
2020_census_methodology.pdf_p22_c90,2020_census_methodology.pdf,22,"will review satellite imagery to determine where changes in addresses are occurring, and based on these changes, the Census Bureau will develop a plan for capturing those changes. This plan will include In-Field Address Canvassing where address updates cannot be obtained or verified or in areas undergoing rapid change. The number of addresses requiring In-Field Canvassing is expected to be approximately 30 percent of the total number of addresses. The operations shaded in darker blue in Figure 8 include innovations related to Reengineering Address Canvassing.","2020_census_methodology.pdf, Page 22"
2020_census_methodology.pdf_p23_c91,2020_census_methodology.pdf,23,U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 17 Figure 8: Operations That Contribute to Reengineering Address Canvassing Program Management 1. Program Management (PM) 6. Geographic Programs (GEOP) 9. Forms Printing and Distribution (FPD) 10. Paper Data Capture (PDC) 11. Integrated Partnership and Communications (IPC) 12. Internet Self-Response (ISR) 13. Non-ID Processing (NID) 14. Update Enumerate (UE) 15. Group Quarters (GQ) 16. Enumeration at Transitory Locations (ETL) 21. Data Products and Dissemination (DPD) 22. Redistricting Data Program (RDP) 23. Count Review (CRO) 24. Count Question Resolution (CQR) 25. Archiving (ARC) 17. Census Questionnaire Assistance (CQA) 18. Nonresponse Followup (NRFU) 19.,"2020_census_methodology.pdf, Page 23"
2020_census_methodology.pdf_p23_c92,2020_census_methodology.pdf,23,"Review (CRO) 24. Count Question Resolution (CQR) 25. Archiving (ARC) 17. Census Questionnaire Assistance (CQA) 18. Nonresponse Followup (NRFU) 19. Response Processing (RPO) 20. Federally Affiliated Count Overseas (FACO) 35. Update Leave (UL) 7. Local Update of Census Addresses (LUCA) 8. Address Canvassing (ADC) 28. Coverage Measurement Matching (CMM) 29. Coverage Measurement Field Operations (CMFO) 30. Evaluations and Experiments (EAE) 27. Coverage Measurement Design and Estimation (CMDE) 2. Systems Engineering and Integration (SEI) 3. Security, Privacy, and Confidentiality (SPC) 4. Content and Forms Design (CFD) 31. Decennial Service Center (DSC) 32. Field Infrastructure (FLD1) 33. Decennial Logistics Management (DLM) 34.","2020_census_methodology.pdf, Page 23"
2020_census_methodology.pdf_p23_c93,2020_census_methodology.pdf,23,Content and Forms Design (CFD) 31. Decennial Service Center (DSC) 32. Field Infrastructure (FLD1) 33. Decennial Logistics Management (DLM) 34. IT Infrastructure (ITIN) 5. Language Services (LNG) Infrastructure FRAME OTHER CENSUSES TEST AND EVALUATION RESPONSE DATA PUBLISH DATA Census/Survey Engineering 26. Island Areas Censuses (IAC) SUPPORT,"2020_census_methodology.pdf, Page 23"
2020_census_methodology.pdf_p24_c94,2020_census_methodology.pdf,24,18 2020 Census Operational Plan—Version 3.0 U.S. Census Bureau Documented below are brief descriptions of how each operation contributes to the Reengineering Address Canvassing innovation area: Table 2: Description of Operations That Contribute to Reengineering Address Canvassing Operation Contributions Geographic Programs (GEOP) • Simplified collection geography. • Simplified Type of Enumeration Area delineation. • More data sources to validate and augment the frame. • More frequent engagement with partners to improve quality of the MAF/TIGER System. Local Update of Census Addresses (LUCA) Local Update of Census Addresses submissions validated as part of In-Office Address Canvassing. Address Canvassing (ADC) • 100,"2020_census_methodology.pdf, Page 24"
2020_census_methodology.pdf_p24_c95,2020_census_methodology.pdf,24,Addresses (LUCA) Local Update of Census Addresses submissions validated as part of In-Office Address Canvassing. Address Canvassing (ADC) • 100 percent of addresses canvassed in In-Office Address Canvassing. • Target 30 percent of living quarters for In-Field Address Canvassing. • Ongoing in-office and in-field improvement process. • Classification of living quarter types during in-office review. • Increased productivity of field staff due to automated case assignment and route optimization. Update Enumerate (UE) Geography in the Update Enumerate areas not included in the in-field workloads. Update Leave (UL) Geography in the Update Leave areas not included in the in-field workloads. Field,"2020_census_methodology.pdf, Page 24"
2020_census_methodology.pdf_p24_c96,2020_census_methodology.pdf,24,"in the in-field workloads. Update Leave (UL) Geography in the Update Leave areas not included in the in-field workloads. Field Infrastructure (FLDI) Automated administrative functions. Decennial Logistics Management (DLM) Reduced office infrastructure needed for In-Field Address Canvassing. IT Infrastructure (ITIN) • Listing applications for In-Field Address Canvassing supported by decennial Device as a Service (dDaaS). • Enterprise solutions with flexible architecture. • Additional IT infrastructure to support In-Office Address Canvassing. 3.2 OPTIMIZING SELF-RESPONSE The goal of this innovation area is to communicate the importance of the 2020 Census to the U.S. pop- ulation and generate the largest possible self- response,","2020_census_methodology.pdf, Page 24"
2020_census_methodology.pdf_p24_c97,2020_census_methodology.pdf,24,"to communicate the importance of the 2020 Census to the U.S. pop- ulation and generate the largest possible self- response, reducing the need to conduct expensive in-person follow-up with those households. As shown in Figure 9, the Census Bureau will motivate people to respond by using technol- ogy and administrative records and third-party data to target advertisements and tailor contact strategies to different demographic groups and geographic areas. The Census Bureau also will use its partnership program, providing information to government agencies and hosting events at community, recreation, and faith-based organiza- tions. Communication and contact strategies will encourage the use","2020_census_methodology.pdf, Page 24"
2020_census_methodology.pdf_p24_c98,2020_census_methodology.pdf,24,"government agencies and hosting events at community, recreation, and faith-based organiza- tions. Communication and contact strategies will encourage the use of the Internet as the primary response mode through a sequence of invitations and postcard mailings. In addition, Census Bureau enumerators will leave materials to encourage self-response.","2020_census_methodology.pdf, Page 24"
2020_census_methodology.pdf_p25_c99,2020_census_methodology.pdf,25,"U.S. Census Bureau 2020 Census Operational Plan—Version 3.0 19 A second key aspect of Optimizing Self-Response is to make it easy for people to respond from any location at any time. This is done in several ways: • By enabling people to respond via multiple modes (Internet, paper, or telephone if they call the Census Questionnaire Assistance [CQA] Center). • By allowing respondents to submit a question- naire without a unique identification code. • By providing online forms in multiple languages. For these innovations to be successful, respon- dents must know that their personal information is protected. Thus, a key","2020_census_methodology.pdf, Page 25"
2020_census_methodology.pdf_p172_c1050,2020_census_methodology.pdf,172,"the 2020 Census System of Systems, including the assess- ment and design of a cloud architecture for the 2020 Census. • Assign the 2020 Census Technical Integrator to assess every system of the 2020 Census System of Systems, including the systems suitability for the Cloud and the migration strategy if the sys- tem is determined to be suitable for the Cloud. 6.11 SYSTEMS SCALABILITY All systems supporting the 2020 Census Program must be able to handle the large, dynamic demands of the operations and support the system of systems. IF systems are not properly designed, tested, and implemented with the","2020_census_methodology.pdf, Page 172"
2020_census_methodology.pdf_p172_c1051,2020_census_methodology.pdf,172,"of the operations and support the system of systems. IF systems are not properly designed, tested, and implemented with the ability to scale, THEN critical issues may arise when the need to scale up (or down) any system in the environment occurs, potentially eliminating the ability to scale during the production window of operations, and thereby limiting the capacity to support the operations or leading to failure of the system. Probability 3 (Moderately likely) Impact 3 (Moderate impact) Exposure level MEDIUM Mitigation Strategies include the following: • Under direction of SEI Chief Architect, con- duct scalability assessment with the Technical","2020_census_methodology.pdf, Page 172"
