county_fips,county_name,pct_no_broadband,state_abbr
26059,"Hillsdale County, Michigan",34.9,MI
26061,"Houghton County, Michigan",32.1,MI
26063,"Huron County, Michigan",52.4,MI
26065,"Ingham County, Michigan",4.3,MI
26067,"Ionia County, Michigan",18.0,MI
26069,"Iosco County, Michigan",35.1,MI
26071,"Iron County, Michigan",37.3,MI
26073,"Isabella County, Michigan",12.6,MI
26075,"Jackson County, Michigan",8.7,MI
26077,"Kalamazoo County, Michigan",11.3,MI
26079,"Kalkaska County, Michigan",37.4,MI
26081,"Kent County, Michigan",14.6,MI
26083,"Keweenaw County, Michigan",47.0,MI
26085,"Lake County, Michigan",44.7,MI
26087,"Lapeer County, Michigan",10.4,MI
26089,"Leelanau County, Michigan",24.6,MI
26091,"Lenawee County, Michigan",7.3,MI
26093,"Livingston County, Michigan",11.1,MI
26099,"Macomb County, Michigan",11.3,MI
26101,"Manistee County, Michigan",27.9,MI
26103,"Marquette County, Michigan",14.5,MI
26105,"Mason County, Michigan",22.5,MI
26107,"Mecosta County, Michigan",20.3,MI
26109,"Menominee County, Michigan",37.2,MI
26111,"Midland County, Michigan",3.2,MI
26113,"Missaukee County, Michigan",54.4,MI
26115,"Monroe County, Michigan",13.3,MI
26117,"Montcalm County, Michigan",13.1,MI
26119,"Montmorency County, Michigan",48.0,MI
26121,"Muskegon County, Michigan",10.8,MI
26123,"Newaygo County, Michigan",28.7,MI
26125,"Oakland County, Michigan",10.5,MI
26127,"Oceana County, Michigan",35.8,MI
26129,"Ogemaw County, Michigan",38.8,MI
26131,"Ontonagon County, Michigan",41.0,MI
26133,"Osceola County, Michigan",44.3,MI
26135,"Oscoda County, Michigan",44.5,MI
26137,"Otsego County, Michigan",20.4,MI
26139,"Ottawa County, Michigan",5.0,MI
26141,"Presque Isle County, Michigan",38.0,MI
26143,"Roscommon County, Michigan",49.1,MI
26145,"Saginaw County, Michigan",24.5,MI
26147,"St. Clair County, Michigan",17.1,MI
26149,"St. Joseph County, Michigan",37.2,MI
26151,"Sanilac County, Michigan",31.7,MI
26153,"Schoolcraft County, Michigan",39.0,MI
26155,"Shiawassee County, Michigan",9.8,MI
26157,"Tuscola County, Michigan",22.5,MI
26159,"Van Buren County, Michigan",21.0,MI
26161,"Washtenaw County, Michigan",3.1,MI
26163,"Wayne County, Michigan",19.5,MI
26165,"Wexford County, Michigan",34.3,MI
26011,"Arenac County, Michigan",54.6,MI
26095,"Luce County, Michigan",52.0,MI
26005,"Allegan County, Michigan",11.8,MI
26097,"Mackinac County, Michigan",46.9,MI
41003,"Benton County, Oregon",9.7,OR
41005,"Clackamas County, Oregon",6.5,OR
41007,"Clatsop County, Oregon",17.3,OR
41009,"Columbia County, Oregon",17.3,OR
41011,"Coos County, Oregon",31.8,OR
41013,"Crook County, Oregon",19.2,OR
41015,"Curry County, Oregon",33.6,OR
41017,"Deschutes County, Oregon",22.3,OR
41019,"Douglas County, Oregon",29.8,OR
41021,"Gilliam County, Oregon",49.3,OR
41023,"Grant County, Oregon",45.6,OR
41025,"Harney County, Oregon",43.4,OR
41027,"Hood River County, Oregon",14.7,OR
41029,"Jackson County, Oregon",3.8,OR
41031,"Jefferson County, Oregon",37.9,OR
41033,"Josephine County, Oregon",28.3,OR
41035,"Klamath County, Oregon",29.5,OR
41037,"Lake County, Oregon",29.9,OR
41039,"Lane County, Oregon",14.3,OR
41041,"Lincoln County, Oregon",26.9,OR
41043,"Linn County, Oregon",11.4,OR
41045,"Malheur County, Oregon",20.4,OR
41047,"Marion County, Oregon",6.5,OR
41049,"Morrow County, Oregon",23.8,OR
41051,"Multnomah County, Oregon",7.1,OR
41053,"Polk County, Oregon",5.8,OR
41055,"Sherman County, Oregon",24.4,OR
41057,"Tillamook County, Oregon",53.2,OR
41059,"Umatilla County, Oregon",26.8,OR
41061,"Union County, Oregon",19.0,OR
41063,"Wallowa County, Oregon",51.8,OR
41065,"Wasco County, Oregon",33.1,OR
41067,"Washington County, Oregon",4.6,OR
41069,"Wheeler County, Oregon",40.9,OR
41071,"Yamhill County, Oregon",11.5,OR
41001,"Baker County, Oregon",39.2,OR
51001,"Accomack County, Virginia",51.7,VA
51003,"Albemarle County, Virginia",11.1,VA
51005,"Alleghany County, Virginia",34.7,VA
51007,"Amelia County, Virginia",12.6,VA
51009,"Amherst County, Virginia",36.0,VA
51011,"Appomattox County, Virginia",36.9,VA
51013,"Arlington County, Virginia",10.5,VA
51015,"Augusta County, Virginia",14.2,VA
51017,"Bath County, Virginia",50.0,VA
51019,"Bedford County, Virginia",20.0,VA
51021,"Bland County, Virginia",22.6,VA
51023,"Botetourt County, Virginia",5.4,VA
51025,"Brunswick County, Virginia",47.1,VA
51027,"Buchanan County, Virginia",37.0,VA
51029,"Buckingham County, Virginia",43.3,VA
51031,"Campbell County, Virginia",24.9,VA
51035,"Carroll County, Virginia",26.1,VA
51036,"Charles City County, Virginia",39.2,VA
51037,"Charlotte County, Virginia",35.9,VA
51041,"Chesterfield County, Virginia",3.2,VA
51043,"Clarke County, Virginia",13.6,VA
51045,"Craig County, Virginia",42.1,VA
51047,"Culpeper County, Virginia",4.9,VA
51049,"Cumberland County, Virginia",51.6,VA
51051,"Dickenson County, Virginia",52.9,VA
51053,"Dinwiddie County, Virginia",20.6,VA
51057,"Essex County, Virginia",36.3,VA
51059,"Fairfax County, Virginia",8.2,VA
51061,"Fauquier County, Virginia",10.4,VA
51065,"Fluvanna County, Virginia",4.4,VA
51067,"Franklin County, Virginia",24.5,VA
51071,"Giles County, Virginia",25.2,VA
51073,"Gloucester County, Virginia",7.1,VA
51079,"Greene County, Virginia",7.3,VA
51081,"Greensville County, Virginia",35.9,VA
51085,"Hanover County, Virginia",13.5,VA
51087,"Henrico County, Virginia",6.2,VA
51089,"Henry County, Virginia",23.0,VA
51093,"Isle of Wight County, Virginia",11.3,VA
51095,"James City County, Virginia",9.2,VA
51099,"King George County, Virginia",11.0,VA
51101,"King William County, Virginia",20.6,VA
51105,"Lee County, Virginia",53.5,VA
51107,"Loudoun County, Virginia",8.3,VA
51109,"Louisa County, Virginia",16.9,VA
51113,"Madison County, Virginia",51.8,VA
51115,"Mathews County, Virginia",22.2,VA
51117,"Mecklenburg County, Virginia",37.1,VA
51121,"Montgomery County, Virginia",10.3,VA
51125,"Nelson County, Virginia",50.6,VA
51131,"Northampton County, Virginia",38.9,VA
51133,"Northumberland County, Virginia",36.5,VA
51137,"Orange County, Virginia",10.6,VA
51139,"Page County, Virginia",22.1,VA
51141,"Patrick County, Virginia",47.6,VA
51145,"Powhatan County, Virginia",13.5,VA
51147,"Prince Edward County, Virginia",53.2,VA
51153,"Prince William County, Virginia",4.9,VA
51155,"Pulaski County, Virginia",25.8,VA
51161,"Roanoke County, Virginia",8.3,VA
51163,"Rockbridge County, Virginia",30.1,VA
51167,"Russell County, Virginia",49.7,VA
51169,"Scott County, Virginia",37.0,VA
51171,"Shenandoah County, Virginia",19.7,VA
51175,"Southampton County, Virginia",26.7,VA
51177,"Spotsylvania County, Virginia",4.7,VA
51181,"Surry County, Virginia",52.0,VA
51183,"Sussex County, Virginia",43.8,VA
51187,"Warren County, Virginia",8.0,VA
51191,"Washington County, Virginia",21.5,VA
51195,"Wise County, Virginia",24.9,VA
51197,"Wythe County, Virginia",22.1,VA
51199,"York County, Virginia",7.1,VA
51510,"Alexandria city, Virginia",9.1,VA
51530,"Buena Vista city, Virginia",4.0,VA
51540,"Charlottesville city, Virginia",7.5,VA
51550,"Chesapeake city, Virginia",12.1,VA
51570,"Colonial Heights city, Virginia",7.3,VA
51580,"Covington city, Virginia",48.3,VA
51590,"Danville city, Virginia",23.0,VA
51595,"Emporia city, Virginia",50.1,VA
51600,"Fairfax city, Virginia",8.1,VA
51610,"Falls Church city, Virginia",5.7,VA
51620,"Franklin city, Virginia",36.0,VA
51630,"Fredericksburg city, Virginia",8.0,VA
51640,"Galax city, Virginia",28.2,VA
51650,"Hampton city, Virginia",8.5,VA
51660,"Harrisonburg city, Virginia",13.2,VA
51670,"Hopewell city, Virginia",35.9,VA
51678,"Lexington city, Virginia",7.3,VA
51680,"Lynchburg city, Virginia",10.4,VA
51683,"Manassas city, Virginia",4.7,VA
51685,"Manassas Park city, Virginia",3.1,VA
51690,"Martinsville city, Virginia",36.1,VA
51700,"Newport News city, Virginia",24.2,VA
51710,"Norfolk city, Virginia",11.3,VA
51720,"Norton city, Virginia",41.3,VA
51730,"Petersburg city, Virginia",54.6,VA
51735,"Poquoson city, Virginia",5.0,VA
51740,"Portsmouth city, Virginia",10.9,VA
51750,"Radford city, Virginia",21.4,VA
51760,"Richmond city, Virginia",19.9,VA
51770,"Roanoke city, Virginia",19.6,VA
51775,"Salem city, Virginia",13.8,VA
51790,"Staunton city, Virginia",3.7,VA
51800,"Suffolk city, Virginia",19.5,VA
51810,"Virginia Beach city, Virginia",11.6,VA
51820,"Waynesboro city, Virginia",10.9,VA
51830,"Williamsburg city, Virginia",9.2,VA
51840,"Winchester city, Virginia",6.5,VA
51063,"Floyd County, Virginia",28.0,VA
51069,"Frederick County, Virginia",11.2,VA
51077,"Grayson County, Virginia",46.1,VA
51083,"Halifax County, Virginia",41.1,VA
51091,"Highland County, Virginia",34.9,VA
51097,"King and Queen County, Virginia",53.2,VA
51103,"Lancaster County, Virginia",20.2,VA
51111,"Lunenburg County, Virginia",40.6,VA
51119,"Middlesex County, Virginia",30.6,VA
51127,"New Kent County, Virginia",14.0,VA
51135,"Nottoway County, Virginia",49.0,VA
51143,"Pittsylvania County, Virginia",28.9,VA
51149,"Prince George County, Virginia",5.5,VA
51159,"Richmond County, Virginia",45.9,VA
51165,"Rockingham County, Virginia",21.8,VA
51173,"Smyth County, Virginia",33.0,VA
51179,"Stafford County, Virginia",11.4,VA
51185,"Tazewell County, Virginia",52.8,VA
51193,"Westmoreland County, Virginia",35.6,VA
51520,"Bristol city, Virginia",16.1,VA
51033,"Caroline County, Virginia",13.0,VA
51157,"Rappahannock County, Virginia",26.0,VA
51075,"Goochland County, Virginia",3.4,VA
19001,"Adair County, Iowa",26.7,IA
19003,"Adams County, Iowa",49.5,IA
19005,"Allamakee County, Iowa",34.8,IA
19007,"Appanoose County, Iowa",37.5,IA
19009,"Audubon County, Iowa",54.8,IA
19011,"Benton County, Iowa",6.4,IA
19013,"Black Hawk County, Iowa",4.1,IA
19015,"Boone County, Iowa",9.6,IA
19017,"Bremer County, Iowa",9.3,IA
19019,"Buchanan County, Iowa",12.1,IA
19021,"Buena Vista County, Iowa",12.4,IA
19023,"Butler County, Iowa",10.4,IA
19025,"Calhoun County, Iowa",50.9,IA
19027,"Carroll County, Iowa",18.9,IA
19029,"Cass County, Iowa",13.6,IA
19031,"Cedar County, Iowa",12.3,IA
19033,"Cerro Gordo County, Iowa",11.7,IA
19035,"Cherokee County, Iowa",39.7,IA
19037,"Chickasaw County, Iowa",4.3,IA
19039,"Clarke County, Iowa",21.2,IA
19041,"Clay County, Iowa",7.5,IA
19043,"Clayton County, Iowa",32.5,IA
19045,"Clinton County, Iowa",7.3,IA
19049,"Dallas County, Iowa",3.6,IA
19051,"Davis County, Iowa",33.0,IA
19055,"Delaware County, Iowa",4.5,IA
19057,"Des Moines County, Iowa",14.5,IA
19059,"Dickinson County, Iowa",34.7,IA
19061,"Dubuque County, Iowa",8.4,IA
19063,"Emmet County, Iowa",39.7,IA
19065,"Fayette County, Iowa",22.1,IA
19067,"Floyd County, Iowa",24.8,IA
19069,"Franklin County, Iowa",18.5,IA
19071,"Fremont County, Iowa",37.9,IA
19073,"Greene County, Iowa",32.6,IA
19075,"Grundy County, Iowa",9.4,IA
19077,"Guthrie County, Iowa",31.9,IA
19079,"Hamilton County, Iowa",7.2,IA
19081,"Hancock County, Iowa",14.3,IA
19083,"Hardin County, Iowa",21.8,IA
19085,"Harrison County, Iowa",34.3,IA
19087,"Henry County, Iowa",20.1,IA
19089,"Howard County, Iowa",20.7,IA
19091,"Humboldt County, Iowa",17.8,IA
19093,"Ida County, Iowa",40.0,IA
19095,"Iowa County, Iowa",6.9,IA
19097,"Jackson County, Iowa",18.7,IA
19099,"Jasper County, Iowa",12.9,IA
19103,"Johnson County, Iowa",7.3,IA
19105,"Jones County, Iowa",4.2,IA
19107,"Keokuk County, Iowa",34.2,IA
19111,"Lee County, Iowa",36.6,IA
19113,"Linn County, Iowa",4.0,IA
19115,"Louisa County, Iowa",10.9,IA
19119,"Lyon County, Iowa",13.7,IA
19121,"Madison County, Iowa",17.1,IA
19123,"Mahaska County, Iowa",8.4,IA
19127,"Marshall County, Iowa",15.5,IA
19129,"Mills County, Iowa",9.3,IA
19131,"Mitchell County, Iowa",10.1,IA
19135,"Monroe County, Iowa",30.4,IA
19137,"Montgomery County, Iowa",15.9,IA
19141,"O'Brien County, Iowa",14.0,IA
19143,"Osceola County, Iowa",30.0,IA
19145,"Page County, Iowa",28.5,IA
19151,"Pocahontas County, Iowa",28.8,IA
19157,"Poweshiek County, Iowa",38.6,IA
19159,"Ringgold County, Iowa",44.8,IA
19161,"Sac County, Iowa",39.5,IA
19163,"Scott County, Iowa",12.9,IA
19167,"Sioux County, Iowa",4.7,IA
19169,"Story County, Iowa",4.5,IA
19179,"Wapello County, Iowa",34.2,IA
19171,"Tama County, Iowa",11.9,IA
19175,"Union County, Iowa",34.1,IA
19177,"Van Buren County, Iowa",52.3,IA
19183,"Washington County, Iowa",4.4,IA
19185,"Wayne County, Iowa",39.3,IA
19187,"Webster County, Iowa",17.1,IA
19191,"Winneshiek County, Iowa",12.0,IA
19193,"Woodbury County, Iowa",24.2,IA
19197,"Wright County, Iowa",27.4,IA
19101,"Jefferson County, Iowa",24.3,IA
19109,"Kossuth County, Iowa",19.0,IA
19117,"Lucas County, Iowa",43.2,IA
19125,"Marion County, Iowa",4.5,IA
19133,"Monona County, Iowa",31.4,IA
19139,"Muscatine County, Iowa",3.5,IA
19147,"Palo Alto County, Iowa",12.3,IA
19155,"Pottawattamie County, Iowa",7.5,IA
19165,"Shelby County, Iowa",24.9,IA
19173,"Taylor County, Iowa",41.1,IA
19181,"Warren County, Iowa",8.8,IA
19189,"Winnebago County, Iowa",21.9,IA
19195,"Worth County, Iowa",4.7,IA
19053,"Decatur County, Iowa",31.8,IA
19149,"Plymouth County, Iowa",3.6,IA
19047,"Crawford County, Iowa",37.9,IA
19153,"Polk County, Iowa",13.7,IA
40001,"Adair County, Oklahoma",39.3,OK
40003,"Alfalfa County, Oklahoma",51.4,OK
40005,"Atoka County, Oklahoma",44.8,OK
40007,"Beaver County, Oklahoma",37.4,OK
40009,"Beckham County, Oklahoma",27.0,OK
40011,"Blaine County, Oklahoma",52.4,OK
40013,"Bryan County, Oklahoma",28.4,OK
40015,"Caddo County, Oklahoma",46.5,OK
40017,"Canadian County, Oklahoma",9.8,OK
40019,"Carter County, Oklahoma",38.0,OK
40021,"Cherokee County, Oklahoma",35.6,OK
40023,"Choctaw County, Oklahoma",44.5,OK
40025,"Cimarron County, Oklahoma",49.4,OK
40027,"Cleveland County, Oklahoma",10.3,OK
40029,"Coal County, Oklahoma",50.2,OK
40031,"Comanche County, Oklahoma",17.6,OK
40033,"Cotton County, Oklahoma",44.2,OK
40035,"Craig County, Oklahoma",44.0,OK
40037,"Creek County, Oklahoma",29.0,OK
40039,"Custer County, Oklahoma",37.3,OK
40041,"Delaware County, Oklahoma",41.5,OK
40043,"Dewey County, Oklahoma",51.0,OK
40045,"Ellis County, Oklahoma",48.3,OK
40047,"Garfield County, Oklahoma",16.1,OK
40049,"Garvin County, Oklahoma",39.7,OK
40051,"Grady County, Oklahoma",27.9,OK
40053,"Grant County, Oklahoma",45.8,OK
40055,"Greer County, Oklahoma",54.2,OK
40057,"Harmon County, Oklahoma",52.8,OK
40061,"Haskell County, Oklahoma",49.7,OK
40063,"Hughes County, Oklahoma",47.9,OK
40065,"Jackson County, Oklahoma",37.3,OK
40067,"Jefferson County, Oklahoma",49.1,OK
40069,"Johnston County, Oklahoma",46.4,OK
40071,"Kay County, Oklahoma",35.9,OK
40073,"Kingfisher County, Oklahoma",34.1,OK
40075,"Kiowa County, Oklahoma",46.2,OK
40077,"Latimer County, Oklahoma",37.5,OK
40079,"Le Flore County, Oklahoma",46.2,OK
40081,"Lincoln County, Oklahoma",38.8,OK
40083,"Logan County, Oklahoma",19.3,OK
40085,"Love County, Oklahoma",46.5,OK
40087,"McClain County, Oklahoma",10.8,OK
40089,"McCurtain County, Oklahoma",46.4,OK
40091,"McIntosh County, Oklahoma",38.8,OK
40093,"Major County, Oklahoma",29.5,OK
40095,"Marshall County, Oklahoma",52.9,OK
40097,"Mayes County, Oklahoma",22.4,OK
40099,"Murray County, Oklahoma",53.7,OK
40101,"Muskogee County, Oklahoma",23.6,OK
40103,"Noble County, Oklahoma",20.4,OK
40105,"Nowata County, Oklahoma",35.7,OK
40107,"Okfuskee County, Oklahoma",39.9,OK
40109,"Oklahoma County, Oklahoma",20.6,OK
40111,"Okmulgee County, Oklahoma",52.8,OK
40113,"Osage County, Oklahoma",28.9,OK
40115,"Ottawa County, Oklahoma",51.1,OK
40123,"Pontotoc County, Oklahoma",32.1,OK
40117,"Pawnee County, Oklahoma",43.0,OK
40119,"Payne County, Oklahoma",10.7,OK
40121,"Pittsburg County, Oklahoma",52.2,OK
40125,"Pottawatomie County, Oklahoma",20.5,OK
40127,"Pushmataha County, Oklahoma",43.7,OK
40129,"Roger Mills County, Oklahoma",43.3,OK
40131,"Rogers County, Oklahoma",22.9,OK
40133,"Seminole County, Oklahoma",41.3,OK
40135,"Sequoyah County, Oklahoma",40.1,OK
40137,"Stephens County, Oklahoma",22.3,OK
40139,"Texas County, Oklahoma",22.0,OK
40141,"Tillman County, Oklahoma",38.4,OK
40143,"Tulsa County, Oklahoma",4.7,OK
40145,"Wagoner County, Oklahoma",13.8,OK
40147,"Washington County, Oklahoma",11.3,OK
40149,"Washita County, Oklahoma",41.1,OK
40151,"Woods County, Oklahoma",28.1,OK
40153,"Woodward County, Oklahoma",23.4,OK
40059,"Harper County, Oklahoma",47.3,OK
55001,"Adams County, Wisconsin",41.5,WI
55003,"Ashland County, Wisconsin",20.5,WI
55005,"Barron County, Wisconsin",10.9,WI
55007,"Bayfield County, Wisconsin",27.8,WI
55009,"Brown County, Wisconsin",6.8,WI
55011,"Buffalo County, Wisconsin",28.3,WI
55013,"Burnett County, Wisconsin",41.5,WI
55015,"Calumet County, Wisconsin",7.5,WI
55017,"Chippewa County, Wisconsin",12.9,WI
55019,"Clark County, Wisconsin",37.4,WI
55021,"Columbia County, Wisconsin",5.4,WI
55023,"Crawford County, Wisconsin",35.0,WI
55025,"Dane County, Wisconsin",10.0,WI
55027,"Dodge County, Wisconsin",8.9,WI
55029,"Door County, Wisconsin",35.0,WI
55031,"Douglas County, Wisconsin",15.8,WI
55033,"Dunn County, Wisconsin",4.4,WI
55035,"Eau Claire County, Wisconsin",3.7,WI
55037,"Florence County, Wisconsin",44.3,WI
55039,"Fond du Lac County, Wisconsin",7.9,WI
55041,"Forest County, Wisconsin",44.7,WI
55043,"Grant County, Wisconsin",7.9,WI
55045,"Green County, Wisconsin",5.8,WI
55047,"Green Lake County, Wisconsin",37.7,WI
55049,"Iowa County, Wisconsin",6.2,WI
55051,"Iron County, Wisconsin",54.3,WI
55053,"Jackson County, Wisconsin",20.1,WI
55055,"Jefferson County, Wisconsin",6.0,WI
55057,"Juneau County, Wisconsin",31.1,WI
55059,"Kenosha County, Wisconsin",12.4,WI
55061,"Kewaunee County, Wisconsin",6.7,WI
55063,"La Crosse County, Wisconsin",7.9,WI
55065,"Lafayette County, Wisconsin",4.0,WI
55067,"Langlade County, Wisconsin",47.7,WI
55069,"Lincoln County, Wisconsin",24.1,WI
55071,"Manitowoc County, Wisconsin",14.6,WI
55073,"Marathon County, Wisconsin",7.5,WI
55075,"Marinette County, Wisconsin",39.7,WI
55077,"Marquette County, Wisconsin",50.6,WI
55078,"Menominee County, Wisconsin",45.8,WI
55079,"Milwaukee County, Wisconsin",8.1,WI
55081,"Monroe County, Wisconsin",13.9,WI
55083,"Oconto County, Wisconsin",29.0,WI
55085,"Oneida County, Wisconsin",20.0,WI
55087,"Outagamie County, Wisconsin",8.6,WI
55089,"Ozaukee County, Wisconsin",13.0,WI
55091,"Pepin County, Wisconsin",6.5,WI
55093,"Pierce County, Wisconsin",14.7,WI
55095,"Polk County, Wisconsin",10.0,WI
55097,"Portage County, Wisconsin",14.2,WI
55099,"Price County, Wisconsin",44.6,WI
55101,"Racine County, Wisconsin",10.2,WI
55103,"Richland County, Wisconsin",22.6,WI
55105,"Rock County, Wisconsin",7.6,WI
55107,"Rusk County, Wisconsin",42.0,WI
55109,"St. Croix County, Wisconsin",10.6,WI
55111,"Sauk County, Wisconsin",10.0,WI
55113,"Sawyer County, Wisconsin",45.2,WI
48001,"Anderson County, Texas",35.9,TX
48003,"Andrews County, Texas",34.8,TX
48005,"Angelina County, Texas",31.3,TX
48119,"Delta County, Texas",26.0,TX
48121,"Denton County, Texas",7.7,TX
48123,"DeWitt County, Texas",37.5,TX
48125,"Dickens County, Texas",37.8,TX
48129,"Donley County, Texas",46.1,TX
48131,"Duval County, Texas",40.6,TX
48135,"Ector County, Texas",28.6,TX
48137,"Edwards County, Texas",58.9,TX
48139,"Ellis County, Texas",14.5,TX
48143,"Erath County, Texas",26.4,TX
48145,"Falls County, Texas",48.6,TX
48147,"Fannin County, Texas",26.9,TX
48151,"Fisher County, Texas",40.2,TX
48153,"Floyd County, Texas",50.1,TX
48155,"Foard County, Texas",44.1,TX
48159,"Franklin County, Texas",24.9,TX
48161,"Freestone County, Texas",54.7,TX
48163,"Frio County, Texas",41.8,TX
48167,"Galveston County, Texas",16.9,TX
48169,"Garza County, Texas",47.0,TX
48171,"Gillespie County, Texas",20.3,TX
48175,"Goliad County, Texas",48.8,TX
48177,"Gonzales County, Texas",47.9,TX
48179,"Gray County, Texas",20.0,TX
48183,"Gregg County, Texas",29.5,TX
48185,"Grimes County, Texas",38.0,TX
48191,"Hall County, Texas",48.5,TX
48193,"Hamilton County, Texas",43.3,TX
48197,"Hardeman County, Texas",52.9,TX
48007,"Aransas County, Texas",34.1,TX
48009,"Archer County, Texas",35.2,TX
48011,"Armstrong County, Texas",45.8,TX
48013,"Atascosa County, Texas",50.7,TX
48015,"Austin County, Texas",33.0,TX
48017,"Bailey County, Texas",36.6,TX
48019,"Bandera County, Texas",20.6,TX
48021,"Bastrop County, Texas",22.5,TX
48023,"Baylor County, Texas",48.4,TX
48025,"Bee County, Texas",48.4,TX
48027,"Bell County, Texas",15.3,TX
48029,"Bexar County, Texas",22.2,TX
48031,"Blanco County, Texas",36.5,TX
